"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4,R17,R3";"R_0805_2012Metric";3;"R_0805_47";;;
2;"C8,C12,C13,C2,C7,C5,C10";"C_0805_2012Metric";7;"C_0805_0.1uf";;;
3;"U4,U5,U6,U7";"DIP-24_W7.62mm";4;"MAX7219";;;
4;"D2,D4,D5,D3";"KWM-30881CVB";4;"KWM-30881CVB";;;
5;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
6;"TP1,TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";2;"TestPoint";;;
7;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
8;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
9;"C9,C14,C1,C11,C15";"C_0805_2012Metric";5;"C_0805_10uf";;;
10;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
11;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
12;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
13;"R16,R2";"R_0805_2012Metric";2;"R_0805_2.2K";;;
14;"R5,R6";"R_0805_2012Metric";2;"R_0805_4.7K";;;
15;"J3,J1";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06";;;
16;"SW3,SW2,SW4,SW1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
17;"R13,R1,R11,R12";"R_0805_2012Metric";4;"R_0805_10K";;;
18;"C3,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
19;"R15";"R_0805_2012Metric";1;"R_0805_100K";;;
20;"R14";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
21;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
22;"Y2";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
23;"R10,R7,R9,R8";"R_0805_2012Metric";4;"R_0805_22K";;;
24;"U1";"TO-252-2";1;"L7805";;;
25;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
26;"D6,D1";"LED_0805_2012Metric";2;"LED_0805";;;
27;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
